year,ls_number,ac_id,name,party,gender,caste,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,State,start_source,end_source,comments,type_begin,type_end,dyn,comments
2004,14,19,A. RAJA,DMK,M,SC,Environment and Forests,CM,22-05-2004,15-05-2007,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,,start_of_term,mid_term,0,
2004,14,19,A. RAJA,DMK,M,SC,Communications and Information Technology,CM,15-05-2007,22-05-2009,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,
2009,15,19,A. RAJA,DMK,M,SC,Communications and Information Technology,CM,28-05-2009,15-11-2010,Lok Sabha,NILGIRIS,15_Tamil_Nadu_19_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_925.pdf,,start_of_term,mid_term,0,
2009,15,24,A. SAI PRATHAP,INC,M,OBC,Steel,MoS,28-05-2009,19-01-2011,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term,0,"A grassroots politician, Pratap was a close follower of former Chief Minister YSR Reddy. He won the Lok Sabha elections six times from 1989. He is currently the Union Minister of State for Steel. "
2009,15,24,A. SAI PRATHAP,INC,M,OBC,Heavy Industries and Public Enterprises,MoS,19-01-2011,12-07-2011,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,,mid_term,mid_term,0,"A grassroots politician, Pratap was a close follower of former Chief Minister YSR Reddy. He won the Lok Sabha elections six times from 1989. He is currently the Union Minister of State for Steel. "
1998,12,,A.K. PATEL,BJP,M,,Chemicals and Fertilizers,MoS,19-03-1998,13-10-1999,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1639.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,start_of_term,end_of_term,0,
1998,12,,A.K. PATEL,BJP,M,,Health and Family Welfare,MoS(IC),17-08-1999,13-10-1999,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1658.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,0,
1991,10,,ABRAR AHMED,INC,M,,Parliamentary Affairs,MoS,18-01-1993,02-04-1994,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term,0,
1991,10,,ABRAR AHMED,INC,M,,Finance,MoS,18-01-1993,02-04-1994,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term,0,
2009,15,8,ABU HASEM KHAN CHOUDHURY,INC,M,UC MUSLIM,Health and Family Welfare,MoS,28-10-2012,26-05-2014,Lok Sabha,MALDAHA DAKSHIN,15_West_Bengal_8_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term,1,His son Isha Khan Choudhury is an MLA belonging to Congress from West Bengal's Maldaha Uttar constituency
2009,15,10,ADHIR RANJAN CHOWDHURY,INC,M,UC,Railways,MoS,28-10-2012,26-05-2014,Lok Sabha,BAHARAMPUR,15_West_Bengal_10_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term,0,
2009,15,2,AGATHA SANGMA,NCP,F,ST,Rural Development,MoS,28-05-2009,27-10-2012,Lok Sabha,TURA,15_Meghalaya_2_0_1,Meghalaya,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_878.pdf,,mid_term,mid_term,1,Her father P.A Sanga was the speaker of the Lok Sabha from 1996 to 1998. Her brother Conrad Sangma is the CM of Meghalaya
2004,14,,AJAY MAKEN,INC,M,,Urban Development,MoS,29-01-2006,22-05-2009,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,
2009,15,,AJAY MAKEN,INC,M,,Home Affairs,MoS,28-05-2009,19-01-2011,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term,0,
2009,15,,AJAY MAKEN,INC,M,,Youth Affairs and Sports,MoS(IC),19-01-2011,28-10-2012,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,,mid_term,mid_term,0,
2009,15,,AJAY MAKEN,INC,M,,Housing and Urban Poverty Alleviation,CM,28-10-2012,15-06-2013,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1153.pdf,,mid_term,mid_term,0,
2014,16,,AJAY TAMTA,BJP,M,,Textiles,MoS,05-07-2016,30-05-2019,Lok Sabha,ALMORA,16_Uttarakhand_3_0_1,Uttarakhand,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,0,
1991,10,,AJIT KUMAR PANJA,INC,M,,Information and Broadcasting,MoS(IC),21-06-1991,18-01-1993,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,,start_of_term,mid_term,0,
1991,10,,AJIT KUMAR PANJA,INC,M,,Coal,MoS(IC),18-01-1993,13-09-1995,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1589.pdf,,mid_term,mid_term,0,
1999,13,,AJIT KUMAR PANJA,AITC,M,,External Affairs,MoS,13-10-1999,16-03-2001,Lok Sabha,CALCUTTA NORTH EAST,13_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1681.pdf,,start_of_term,mid_term,0,
1991,10,,AJIT SINGH,JD,M,,Food,CM,10-02-1995,16-05-1996,Lok Sabha,BAGHPAT,10_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1579.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,1,Son of former PM Charan Singh
1999,13,,AJIT SINGH,RLD,M,,Agriculture,CM,22-07-2001,24-05-2003,Lok Sabha,BAGHPAT,13_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1685.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1716.pdf,,mid_term,mid_term,1,Son of former PM Charan Singh
2009,15,3,AJIT SINGH,RLD,M,IC,Civil Aviation,CM,18-12-2011,26-05-2014,Lok Sabha,BAGHPAT,15_Uttar_Pradesh_11_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_901.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term,1,Son of former PM Charan Singh
2004,14,,AKHILESH DAS,INC,M,,Steel,MoS,29-01-2006,06-04-2008,Rajya Sabha,NA,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1486.pdf,,mid_term,mid_term,0,
2004,14,3,AKHILESH PRASAD SINGH,RJD,M,,"Consumer Affairs, Food and Public Distribution",MoS,22-05-2004,22-05-2009,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term,0,
2004,14,3,AKHILESH PRASAD SINGH,RJD,M,,Agriculture,MoS,22-05-2004,22-05-2009,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term,0,
2014,16,,ALPHONS KANNANTHANAM,BJP,M,,Electronics and Information Technology,MoS,03-09-2017,14-05-2018,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1420.pdf,,mid_term,mid_term,0,"Parachuted by CPIM in 2006-MLA Kanjirappally,Defected to BJP in2011, MP(RS) (2017-)"
2014,16,,ALPHONS KANNANTHANAM,BJP,M,,Tourism,MoS(IC),03-09-2017,30-05-2019,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,0,"Parachuted by CPIM in 2006-MLA Kanjirappally,Defected to BJP in2011, MP(RS) (2017-)"
2004,14,,AMBIKA SONI,INC,F,,Culture,CM,29-01-2006,15-05-2007,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,,mid_term,mid_term,0,Her father was an Indian Civil Service Officer. Her husband Uday Soni is an IFS officer
2004,14,,AMBIKA SONI,INC,F,,Tourism,CM,29-01-2006,22-05-2009,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,Her father was an Indian Civil Service Officer. Her husband Uday Soni is an IFS officer
2009,15,,AMBIKA SONI,INC,F,,Information and Broadcasting,CM,28-05-2009,27-10-2012,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_878.pdf,,start_of_term,mid_term,0,Her father was an Indian Civil Service Officer. Her husband Uday Soni is an IFS officer
2004,14,,ANAND SHARMA,INC,M,,External Affairs,MoS,29-01-2006,22-05-2009,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,
2004,14,,ANAND SHARMA,INC,M,,Information and Broadcasting,MoS,18-10-2008,22-05-2009,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1489.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,
2009,15,,ANAND SHARMA,INC,M,,Commerce and Industry,CM,28-05-2009,26-05-2014,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,start_of_term,end_of_term,0,
2009,15,,ANAND SHARMA,INC,M,,Textiles,CM,12-07-2011,17-06-2013,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_867.pdf,,mid_term,mid_term,0,
2009,15,,ANAND SHARMA,INC,M,,Textiles,CM,03-04-2014,26-05-2014,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_834.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term,0,
1999,13,,ANANDRAO VITHOBA ADSUL,SHS,M,,Finance and Company Affairs,MoS,26-08-2002,22-05-2004,Lok Sabha,BULDHANA,13_Maharashtra_18_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,0,
1999,13,,ANANT GANGARAM GEETE,SHS,M,,Finance,MoS,01-07-2002,26-08-2002,Lok Sabha,RATNAGIRI,13_Maharashtra_2_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,,mid_term,mid_term,0,
1999,13,,ANANT GANGARAM GEETE,SHS,M,,Power,CM,26-08-2002,22-05-2004,Lok Sabha,RATNAGIRI,13_Maharashtra_2_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1707.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,0,
2014,16,32,ANANT GEETE ,SHS,M,OBC,Heavy Industries and Public Enterprises,CM,27-05-2014,30-05-2019,Lok Sabha,RAIGAD,16_Maharashtra_32_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,start_of_term,end_of_term,0,
1998,12,,ANANTH KUMAR,BJP,M,,Civil Aviation,CM,19-03-1998,13-10-1999,Lok Sabha,BANGALORE SOUTH,12_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1639.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,start_of_term,end_of_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1998,12,,ANANTH KUMAR,BJP,M,,Tourism,CM,30-01-1999,13-10-1999,Lok Sabha,BANGALORE SOUTH,12_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1647.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1999,13,,ANANTH KUMAR,BJP,M,,"Culture, Youth Affairs and Sports",CM,13-10-1999,02-02-2000,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,,start_of_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1999,13,,ANANTH KUMAR,BJP,M,,Culture,CM,02-02-2000,01-09-2001,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,,mid_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1999,13,,ANANTH KUMAR,BJP,M,,Tourism,CM,02-02-2000,01-09-2001,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1659.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,,mid_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1999,13,,ANANTH KUMAR,BJP,M,,Urban Development and Poverty Alleviation,CM,01-09-2001,12-07-2003,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1721.pdf,,mid_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
1999,13,,ANANTH KUMAR,BJP,M,,Rural Development,CM,07-04-2003,24-05-2003,Lok Sabha,BANGALORE SOUTH,13_Karnataka_13_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1715.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1719.pdf,,mid_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
2014,16,26,ANANTH KUMAR,BJP,M,UC,Chemicals and Fertilizers,CM,27-05-2014,12-11-2018,Lok Sabha,BANGALORE SOUTH,16_Karnataka_26_0_1,Karnataka,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1732.pdf,,start_of_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
2014,16,26,ANANTH KUMAR,BJP,M,UC,Parliamentary Affairs,CM,05-07-2016,12-11-2018,Lok Sabha,BANGALORE SOUTH,16_Karnataka_26_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1732.pdf,,mid_term,mid_term,1,"Ananth Kumar was an MP for over two decaded, from 1996 till his death in 2018. His daughter Tejaswini is the vice president of BJP Karnataka"
2014,16,12,ANANTKUMAR HEGDE,BJP,M,UC,Skill Development and Entrepreneurship,MoS,03-09-2017,30-05-2019,Lok Sabha,UTTARA KANNADA,16_Karnataka_12_0_1,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,0,Student politics
2004,14,,ANBUMANI RAMDOSS,PMK,M,,Health and Family Welfare,CM,22-05-2004,22-04-2009,Rajya Sabha,NA,NA ,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1443.pdf,,start_of_term,mid_term,1,Son of PMK founder S. Ramadoss
2014,16,,ANIL MADHAV DAVE,BJP,M,,"Environment, Forests and Climate Change",MoS(IC),05-07-2016,18-05-2017,Rajya Sabha,NA,NA ,Madhya_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1210.pdf,,mid_term,mid_term,0,
1999,13,,ANNASAHEB M. K. PATIL,BJP,M,,Rural Development,MoS,01-09-2001,22-05-2004,Lok Sabha,ERANDOL,13_Maharashtra_16_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,0,
2014,16,79,ANUPRIYA PATEL,AD,F,OBC,Health and Family Welfare,MoS,05-07-2016,30-05-2019,Lok Sabha,MIRZAPUR,16_Uttar_Pradesh_79_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,1,Daughter of late party founder. Her husband Ashish Singh Patel is a member of the UP Legislative Council.
2014,16,2,ARJUN RAM MEGHWAL,BJP,M,SC,Corporate Affairs,MoS,05-07-2016,03-09-2017,Lok Sabha,BIKANER,16_Rajasthan_2_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,,mid_term,mid_term,0,No significant background (Bureaucrat)
2014,16,2,ARJUN RAM MEGHWAL,BJP,M,SC,Finance,MoS,05-07-2016,03-09-2017,Lok Sabha,BIKANER,16_Rajasthan_2_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,,mid_term,mid_term,0,No significant background (Bureaucrat)
2014,16,2,ARJUN RAM MEGHWAL,BJP,M,SC,Parliamentary Affairs,MoS,03-09-2017,30-05-2019,Lok Sabha,BIKANER,16_Rajasthan_2_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,0,No significant background (Bureaucrat)
2014,16,2,ARJUN RAM MEGHWAL,BJP,M,SC,"Water Resources, River Development and Ganga Rejuvenation",MoS,03-09-2017,30-05-2019,Lok Sabha,BIKANER,16_Rajasthan_2_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,0,No significant background (Bureaucrat)
